Date,Consumption
01-01-2005,100.1
02-01-2005,125.8
03-01-2005,135.2
04-01-2005,159.6
05-01-2005,165.3
06-01-2005,145.7
07-01-2005,115.1
08-01-2005,109.5
09-01-2005,125.9
10-01-2005,145.4
11-01-2005,110.2
12-01-2005,105.7
01-01-2006,100.8
02-01-2006,129.3
03-01-2006,140.9
04-01-2006,155.8
05-01-2006,167.6
06-01-2006,149.3
07-01-2006,120.5
08-01-2006,110.1
09-01-2006,130.4
10-01-2006,140.6
11-01-2006,108.3
12-01-2006,100.1
01-01-2007,112.2
02-01-2007,120.7
03-01-2007,135.8
04-01-2007,150.3
05-01-2007,175.2
06-01-2007,131.7
07-01-2007,124.6
08-01-2007,114.1
09-01-2007,122.8
10-01-2007,133.9
11-01-2007,113.4
12-01-2007,103.5
01-01-2008,99.4
02-01-2008,115.9
03-01-2008,129.8
04-01-2008,130.3
05-01-2008,150.7
06-01-2008,128.1
07-01-2008,119.3
08-01-2008,111.6
09-01-2008,120.8
10-01-2008,130.1
11-01-2008,109.4
12-01-2008,100.8
01-01-2009,109.5
02-01-2009,119.6
03-01-2009,129.2
04-01-2009,145.7
05-01-2009,159.1
06-01-2009,123.6
07-01-2009,119.3
08-01-2009,115.2
09-01-2009,120.5
10-01-2009,135.8
11-01-2009,112.4
12-01-2009,105.3
01-01-2010,98.5
02-01-2010,109.9
03-01-2010,110.5
04-01-2010,135.6
05-01-2010,140.3
06-01-2010,155.3
07-01-2010,124.8
08-01-2010,115.7
09-01-2010,110.8
10-01-2010,139.3
11-01-2010,113.12
12-01-2010,97.8
01-01-2011,109.5
02-01-2011,117.5
03-01-2011,129.8
04-01-2011,149.87
05-01-2011,163.7
06-01-2011,170.8
07-01-2011,122.5
08-01-2011,116.8
09-01-2011,123.7
10-01-2011,146.8
11-01-2011,135.2
12-01-2011,112.7
01-01-2012,110.4
02-01-2012,109.1
03-01-2012,120.6
04-01-2012,139.1
05-01-2012,157.9
06-01-2012,168.5
07-01-2012,120.3
08-01-2012,118.4
09-01-2012,130.8
10-01-2012,135.4
11-01-2012,109.5
12-01-2012,100.6
01-01-2013,110.7
02-01-2013,108.4
03-01-2013,124.2
04-01-2013,139.1
05-01-2013,155.7
06-01-2013,170.8
07-01-2013,145.7
08-01-2013,120.5
09-01-2013,115.9
10-01-2013,123.8
11-01-2013,130.7
12-01-2013,110.3
01-01-2014,100.2
02-01-2014,112.5
03-01-2014,125.9
04-01-2014,136.4
05-01-2014,158.8
06-01-2014,175.6
07-01-2014,147.8
08-01-2014,117.7
09-01-2014,116.4
10-01-2014,135.8
11-01-2014,126.9
12-01-2014,113.4
01-01-2015,108.5
02-01-2015,119.7
03-01-2015,130.3
04-01-2015,149.6
05-01-2015,158.8
06-01-2015,170.6
07-01-2015,134.8
08-01-2015,122.4
09-01-2015,130.7
10-01-2015,131.5
11-01-2015,122.7
12-01-2015,111.1
01-01-2016,105.3
02-01-2016,100.2
03-01-2016,120.7
04-01-2016,138.4
05-01-2016,149.7
06-01-2016,170.8
07-01-2016,120.4
08-01-2016,118.9
09-01-2016,115.4
10-01-2016,141.3
11-01-2016,111.5
12-01-2016,100.6
01-01-2017,107.9
02-01-2017,115.7
03-01-2017,134.4
04-01-2017,149.8
05-01-2017,168.3
06-01-2017,144.2
07-01-2017,114.5
08-01-2017,121.6
09-01-2017,130.4
10-01-2017,119.9
11-01-2017,110.7
12-01-2017,100.8
01-01-2018,90.1
02-01-2018,118.9
03-01-2018,125.5
04-01-2018,140.6
05-01-2018,155.3
06-01-2018,170.3
07-01-2018,145.8
08-01-2018,120.7
09-01-2018,111.8
10-01-2018,136.1
11-01-2018,110.2
12-01-2018,103.9
01-01-2019,100.5
02-01-2019,117.6
03-01-2019,128.4
04-01-2019,145.7
05-01-2019,150.6
06-01-2019,165.9
07-01-2019,140.4
08-01-2019,130.8
09-01-2019,122
10-01-2019,121.7
11-01-2019,139.2
12-01-2019,115.8
01-01-2020,107.7
02-01-2020,120.1
03-01-2020,160.6
04-01-2020,189.1
05-01-2020,200.4
06-01-2020,179.5
07-01-2020,155.3
08-01-2020,125.4
09-01-2020,115.8
10-01-2020,130.4
11-01-2020,140.5
12-01-2020,137.6
